BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2546	2546	2546	0	0	0
Contact period end (sample #):	3870	3870	3870	2585	2585	2585
Contact period start time (s):	2.546000	2.546000	2.546000	0.000000	0.000000	0.000000
Contact period end time (s):	3.870000	3.870000	3.870000	2.585000	2.585000	2.585000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:08:09
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.086000	0.119240	0.142992	0.959141	-7.288232	-6.324241	666.356655
0.087000	0.157387	0.181139	0.961246	-7.059350	-6.553123	666.042984
0.088000	0.081093	0.028551	2.076316	-7.288232	-6.095359	666.358576
0.089000	-0.033348	-0.009596	1.749316	-7.364526	-6.324241	666.037964
0.090000	0.271827	0.142992	1.272463	-7.097497	-6.095359	666.675160
0.091000	0.386268	0.295579	1.910350	-7.478967	-6.095359	666.985905
0.092000	0.004799	0.066698	1.426208	-7.440820	-6.057212	665.724291
0.093000	0.081093	0.410021	1.281722	-7.517114	-6.133506	667.137039
0.094000	0.004799	0.333726	1.432205	-7.440820	-6.095359	666.504671
0.095000	0.119240	0.104845	1.750277	-7.364526	-5.790184	667.135724
0.096000	0.271827	0.104845	2.539294	-7.593408	-5.866477	665.558342
0.097000	0.157387	0.333727	1.284668	-7.517114	-5.713890	663.991821
0.098000	0.195534	0.104845	2.075158	-7.631555	-5.752037	665.725204
0.099000	0.348121	0.142992	1.264497	-7.936730	-5.790184	667.140930
0.100000	0.119240	0.104845	0.011841	-7.631555	-5.904624	666.361822
0.101000	0.081093	0.219285	0.646285	-7.822289	-5.866477	665.715281
0.102000	0.195534	0.219285	1.268917	-7.898583	-6.057212	665.241724
0.103000	-0.071495	-0.085890	0.493036	-7.936730	-5.675743	664.784754
0.104000	0.042946	0.219285	1.759763	-7.745996	-5.637596	666.181698
0.105000	0.081093	0.104845	0.806193	-8.127465	-5.790184	664.624146
0.106000	0.119240	0.142992	1.123122	-8.127465	-5.752037	664.139679
0.107000	-0.071495	0.104845	1.750097	-8.241906	-5.599449	665.400632
0.108000	0.081093	0.028551	1.114645	-8.280053	-5.599449	665.404696
0.109000	0.042946	0.028551	1.124596	-7.936730	-5.523155	665.397232
0.110000	0.386268	0.333726	0.181984	-8.241906	-5.599449	664.761948
0.111000	0.157387	0.333726	2.068273	-8.089318	-5.408714	664.141943
0.112000	0.119240	0.181139	1.442487	-8.013024	-5.256126	665.557785
0.113000	-0.071495	0.257432	0.801504	-8.280053	-5.141685	665.082758
0.114000	0.271827	0.219285	1.272463	-8.165612	-5.141685	664.921204
0.115000	0.004799	0.257432	1.118703	-7.936730	-5.141685	664.761765
0.116000	0.042946	0.181139	0.972308	-7.974877	-4.798362	664.128769
0.117000	0.081093	0.333726	0.808223	-7.898583	-4.683921	664.125977
0.118000	0.004799	0.142992	0.805216	-7.898583	-4.722068	664.436895
0.119000	0.004799	0.104845	1.911643	-7.898583	-4.531333	664.435118
0.120000	0.119240	0.181139	1.753539	-7.669702	-4.188011	666.316091
0.121000	0.119240	0.371874	1.290365	-7.631555	-4.149864	663.798342
0.122000	-0.109642	0.066698	1.598171	-7.784142	-4.226158	663.322172
0.123000	0.081093	0.295579	1.280249	-7.898583	-4.035423	665.517136
0.124000	-0.033348	0.181139	0.806870	-7.707849	-4.073570	664.887056
0.125000	0.119240	0.104845	1.591647	-7.669702	-3.844688	663.308687
0.126000	0.195534	0.486315	1.275575	-7.707849	-3.844688	662.992588
0.127000	0.004799	0.066698	2.067988	-7.898583	-3.730247	663.314543
0.128000	0.119240	0.142992	2.066980	-7.669702	-3.425071	662.988008
0.129000	0.195534	0.181139	0.966596	-7.631555	-3.348777	663.305084
0.130000	-0.109642	0.181139	0.650690	-7.745996	-3.463218	662.680227
0.131000	0.195534	-0.085890	2.222033	-7.669702	-3.234336	662.189579
0.132000	0.157387	0.104845	2.218306	-7.707849	-3.234336	662.510870
0.133000	0.119240	0.257432	0.966658	-7.669702	-3.043602	663.128595
0.134000	-0.071495	0.219285	1.902669	-7.478967	-3.196189	662.819355
0.135000	-0.109642	-0.047743	1.284684	-7.478967	-2.852867	661.722351
0.136000	0.081093	0.066698	2.233608	-7.555261	-2.967308	661.867950
0.137000	-0.033348	0.219285	2.855831	-7.517114	-2.814720	660.285833
0.138000	0.233680	0.142992	1.907750	-7.402673	-2.547691	660.764647
0.139000	0.004799	0.104845	2.851308	-7.402673	-2.585838	660.921301
0.140000	0.119240	0.142992	1.593405	-7.402673	-2.395103	659.656591
0.141000	0.157387	0.333726	2.542675	-6.983056	-2.356956	659.791952
0.142000	0.195534	0.028551	1.593586	-7.402673	-2.089927	659.476500
0.143000	0.081093	-0.047743	2.547095	-7.059350	-1.975486	659.483358
0.144000	0.119240	0.142992	0.968235	-6.868615	-2.089927	659.149015
0.145000	0.157387	0.219285	1.282414	-6.906762	-2.013633	656.964178
0.146000	0.233680	0.371873	2.067657	-7.135644	-1.632164	658.837334
0.147000	0.004799	0.142992	1.905646	-6.983056	-1.594017	657.417891
0.148000	-0.071495	0.257432	3.323906	-6.601586	-1.288841	657.567778
0.149000	0.233680	0.142992	1.902219	-6.563439	-1.403282	657.882383
0.150000	0.081093	0.257432	1.442937	-6.677880	-1.212547	658.198309
0.151000	0.119240	0.104845	2.075489	-6.410851	-1.174400	657.245348
0.152000	0.157387	0.181139	2.377582	-6.525292	-1.098106	657.556059
0.153000	0.157387	0.066698	1.751901	-6.525292	-0.945518	657.079435
0.154000	-0.071495	0.142992	3.653506	-6.258264	-0.907371	655.348118
0.155000	-0.109642	0.066698	0.174018	-6.029382	-0.792930	656.110144
0.156000	0.348121	0.219285	1.273771	-6.220117	-0.411460	655.970383
0.157000	0.233680	0.371873	2.067673	-6.067529	-0.564048	656.435541
0.158000	0.081093	0.295579	1.448303	-5.991235	-0.640342	655.645842
0.159000	0.195534	0.448167	2.544944	-6.029382	-0.525901	656.113747
0.160000	-0.224083	0.142992	2.537325	-5.991235	-0.258873	655.325199
0.161000	0.119240	0.295579	1.745362	-5.838647	-0.373313	655.640181
0.162000	0.195534	-0.009596	1.443945	-6.029382	-0.029991	654.220894
0.163000	0.348121	-0.009596	2.535567	-5.838647	-0.297019	653.738554
0.164000	-0.033348	0.142992	2.229534	-5.533471	-0.220726	654.695818
0.165000	0.309974	0.219285	2.224003	-5.457177	-0.182579	654.679712
0.166000	0.233680	0.066698	1.910862	-5.304589	-0.297019	652.791248
0.167000	0.081093	0.066698	2.226603	-5.152001	-0.220726	653.900616
0.168000	0.004799	0.181139	1.593301	-5.075707	-0.525901	652.935425
0.169000	0.042946	0.371873	2.383910	-4.999413	-0.373313	653.715193
0.170000	0.271827	0.066698	2.067477	-4.656091	-0.297019	652.770336
0.171000	0.004799	0.181139	1.914574	-4.656091	-0.525901	651.820269
0.172000	0.271827	0.142992	1.757101	-4.312768	-0.449607	651.977604
