BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2749	2749	2749	0	0	0
Contact period end (sample #):	4741	4741	4741	3520	3520	3520
Contact period start time (s):	2.749000	2.749000	2.749000	0.000000	0.000000	0.000000
Contact period end time (s):	4.741000	4.741000	4.741000	3.520000	3.520000	3.520000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:10
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.130000	0.306615	0.172021	2.411464	-2.360314	-4.411373	654.736877
0.131000	0.230321	0.248315	1.458001	-2.551049	-4.449520	655.369224
0.132000	0.077734	0.095727	1.615758	-2.512902	-4.411373	654.731900
0.133000	0.192174	0.286462	2.103327	-2.474755	-4.258785	652.377645
0.134000	0.001439	0.248315	1.781543	-2.474755	-4.296932	654.275048
0.135000	0.382909	0.210168	2.249137	-2.436608	-4.449520	655.681141
0.136000	0.344762	0.477197	1.307803	-2.474755	-4.144344	654.272593
0.137000	0.077733	0.324609	1.161574	-2.474755	-4.449520	655.059633
0.138000	0.039586	-0.018713	2.251541	-2.627343	-4.220638	654.588839
0.139000	0.230321	0.210168	1.932688	-2.512902	-4.563961	654.585553
0.140000	0.039586	0.324609	1.299236	-2.474755	-4.449520	654.429711
0.141000	0.230321	0.210168	2.252668	-2.398461	-4.525814	654.280539
0.142000	0.344762	0.362756	1.152134	-2.398461	-4.449520	654.747784
0.143000	-0.074855	0.210168	3.044300	-2.284020	-4.563961	655.854014
0.144000	0.115880	0.286462	1.144453	-2.551049	-4.640255	654.895144
0.145000	0.154027	0.095727	2.248099	-2.322167	-4.525814	654.592592
0.146000	0.268468	0.286462	1.621005	-2.398461	-4.869137	655.228836
0.147000	0.192174	0.324609	2.086733	-2.398461	-4.640255	653.799623
0.148000	0.077733	0.248315	1.779454	-2.665490	-4.830990	655.849929
0.149000	0.192174	0.324609	1.785948	-2.589196	-4.678402	656.013587
