BioWare Version 5.4.9.0 Export
Device:	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #19 (5235) 9287CA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA	Imbedded Kistler #18 (6828) 9287BA
Samples (#):	6000	6000	6000	6000	6000	6000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2573	2573	2573	0	0	0
Contact period end (sample #):	5587	5587	5587	3448	3448	3448
Contact period start time (s):	2.573000	2.573000	2.573000	0.000000	0.000000	0.000000
Contact period end time (s):	5.587000	5.587000	5.587000	3.448000	3.448000	3.448000
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
Date	Oct 23, 2024  11:27:31
Name	
ID	
Classification	
Description	
abs time (s)	Fx	Fy	Fz	Fx	Fy	Fz
	N	N	N	N	N	N
0.098000	0.065018	0.276865	0.388532	-1.253812	-7.476567	641.852983
0.099000	0.026871	0.238719	1.961634	-1.024930	-7.133245	642.784730
0.100000	0.293900	0.315012	1.644585	-0.567166	-6.751775	643.420808
0.101000	-0.163864	0.200572	1.800945	-0.605313	-6.561040	642.618941
0.102000	0.026871	0.009837	1.647185	-0.223844	-6.561040	643.570970
0.103000	0.103165	0.162425	0.853645	0.119479	-6.370305	643.245607
0.104000	0.103165	0.086131	1.646673	0.424655	-6.065129	644.822512
0.105000	0.141312	0.047984	0.060870	0.386508	-5.950688	645.296108
0.106000	0.179459	0.391306	2.438186	0.615390	-5.759953	644.823637
0.107000	0.065018	0.200572	1.637430	0.729831	-5.721807	644.816334
0.108000	-0.011276	0.162425	1.801095	0.996860	-5.569219	647.342358
0.109000	0.179459	0.315012	0.848083	1.263888	-5.302190	647.014904
0.110000	0.179459	0.009837	1.016302	1.302035	-5.340337	647.638126
0.111000	-0.011276	0.315012	1.323297	1.416476	-5.264043	648.428150
0.112000	0.217606	0.353159	1.645531	1.912387	-5.073308	648.900901
0.113000	0.026871	0.276865	1.636618	1.530917	-5.073308	648.426502
0.114000	0.217606	0.009837	1.319900	1.912387	-5.073308	650.455546
0.115000	0.026871	0.276865	2.590143	1.797946	-4.920720	649.212765
0.116000	0.179459	0.162425	1.644238	2.064975	-4.882573	649.830964
0.117000	0.065018	0.353159	3.385156	2.179416	-4.882573	651.411455
0.118000	0.141312	0.315012	2.266374	2.026828	-4.653691	650.946500
0.119000	-0.049423	0.086131	0.539196	2.293857	-4.729985	650.468204
0.120000	0.065018	0.162425	1.324604	2.293857	-4.691838	651.243076
0.121000	0.293900	0.009837	2.110690	2.293857	-4.577397	652.668822
0.122000	0.179459	0.200572	0.539134	2.332004	-4.501103	652.503585
0.123000	0.255753	0.162425	1.009479	2.446445	-4.424809	651.873497
0.124000	-0.049423	0.353159	1.647531	2.217563	-4.539250	651.411629
0.125000	-0.049423	0.124278	0.221304	2.522738	-4.348516	652.043976
0.126000	0.179459	0.200572	2.276475	2.522738	-4.462956	654.085656
0.127000	-0.087570	0.162425	1.013898	2.332004	-4.462956	653.445024
0.128000	0.026871	0.238719	1.643457	2.332004	-4.310369	653.445854
0.129000	0.103165	0.467600	0.851660	2.255710	-4.310369	652.826801
0.130000	0.293900	0.086131	1.011117	2.446445	-4.119634	651.559005
0.131000	0.026871	0.162425	0.536865	2.408298	-4.195928	653.934376
0.132000	0.141312	0.200572	0.859191	2.026828	-4.234075	652.192000
0.133000	0.065018	0.047984	0.853629	2.332004	-4.119634	653.136112
0.134000	0.026871	0.047984	1.332224	2.141269	-4.234075	652.031310
0.135000	0.141312	0.047984	1.166801	2.217563	-4.386662	652.026415
0.136000	0.179459	0.315012	1.796526	2.255710	-4.119634	650.610231
0.137000	0.293900	0.200572	1.644238	2.217563	-4.081487	652.026430
0.138000	0.103165	0.047984	1.965707	2.064975	-4.081487	652.500978
0.139000	-0.125717	0.276865	-0.729635	1.912387	-4.234075	652.186306
0.140000	0.026871	0.162425	1.800149	1.721652	-4.195928	653.440145
0.141000	0.026871	0.009837	-0.094002	1.912387	-3.967046	651.868451
0.142000	0.065018	0.353159	1.009313	1.607211	-4.043340	651.083663
0.143000	0.026871	0.162425	1.647366	1.492770	-3.967046	652.039942
0.144000	0.065018	0.124278	0.377304	1.569064	-4.234075	650.767236
0.145000	0.103165	0.124278	0.377123	1.569064	-4.043340	652.189583
0.146000	-0.125717	0.200572	1.006713	1.454623	-4.157781	651.410338
0.147000	0.179459	0.200572	1.644419	0.958713	-4.043340	650.772417
0.148000	-0.011276	0.353159	1.329174	1.187594	-4.195928	651.570726
0.149000	-0.087570	0.200572	1.959876	0.844272	-4.081487	650.310717
0.150000	0.065018	0.124278	1.643788	0.844272	-4.348516	649.830162
0.151000	0.255753	0.200572	1.798510	0.691684	-4.272222	648.728306
0.152000	0.065018	0.315012	2.426958	0.539096	-4.310369	649.524802
0.153000	0.065018	0.047984	0.538969	0.386508	-4.310369	649.841364
0.154000	0.141312	0.200572	0.694864	0.195773	-4.386662	649.996594
0.155000	0.026871	0.124278	2.595162	0.195773	-4.348516	650.308927
